Latitude,Longitude,Date
55.67399044,37.5587615,2018-09-06 08:26:01.552589
55.67663789,37.56168149,2018-09-06 08:28:11.614522
55.67948139,37.56072436,2018-09-06 08:32:34.316613
55.68208442,37.55618952,2018-09-06 08:33:18.507038
55.68299996,37.55417353,2018-09-06 08:34:04.653532
55.6857963,37.55433078,2018-09-06 08:41:27.935973
55.68826117,37.55736098,2018-09-06 08:45:08.094248
55.69076308,37.5604352,2018-09-06 08:49:23.641103
55.69301823,37.56387817,2018-09-06 08:51:30.287553
55.69510458,37.56754503,2018-09-06 08:53:19.558369
55.69702347,37.57104409,2018-09-06 08:53:42.613446
55.69913568,37.57476658,2018-09-06 08:54:10.967685
55.7013005,37.57144321,2018-09-06 08:54:51.695727
55.70398921,37.57363729,2018-09-06 08:56:51.265238
55.70623498,37.57787891,2018-09-06 08:57:17.367502
55.70820748,37.58202424,2018-09-06 08:58:44.613247
55.71282482,37.57906778,2018-09-06 09:00:10.034658
55.71591812,37.57484967,2018-09-06 09:00:32.740272
55.71764182,37.57043852,2018-09-06 09:00:54.354174
55.71902713,37.56488001,2018-09-06 09:01:19.042731
55.71525759,37.56466983,2018-09-06 09:02:54.572232
55.71313259,37.5682879,2018-09-06 09:03:33.383145
55.71285257,37.57036302,2018-09-06 09:04:06.905126
55.71389004,37.57232571,2018-09-06 09:12:56.704490
55.71389004,37.57232571,2018-09-06 13:50:50.911125
55.71453968,37.56678946,2018-09-06 13:50:57.458246
55.71709704,37.56944292,2018-09-06 13:51:35.587470
55.7170151,37.56958642,2018-09-06 13:56:33.564866
55.7170151,37.56958642,2018-09-06 14:03:19.114188
55.7170151,37.56958642,2018-09-06 14:03:19.301702
55.71266579,37.56230561,2018-09-06 14:04:59.906616
55.71043375,37.55928721,2018-09-06 14:06:25.585641
55.70546854,37.55249134,2018-09-06 14:07:05.587717
55.70287321,37.54906251,2018-09-06 14:07:36.699519
55.70263054,37.54357369,2018-09-06 14:08:48.888049
55.70326434,37.5377491,2018-09-06 14:10:27.609300
55.70101807,37.53367139,2018-09-06 14:11:01.528967
55.69897071,37.52999811,2018-09-06 14:11:41.287578
55.69882788,37.53076086,2018-09-06 14:18:39.359183
55.69882788,37.53076086,2018-09-06 14:52:54.156930
55.69882788,37.53076086,2018-09-06 14:52:54.313156
55.69882788,37.53076086,2018-09-06 14:52:54.328799
55.70307529,37.53760275,2018-09-06 14:53:27.272828
55.7023056,37.5425895,2018-09-06 14:54:16.688916
55.70154896,37.54739269,2018-09-06 14:56:23.504015
55.7043741,37.55116465,2018-09-06 14:56:42.601951
55.70675538,37.55449961,2018-09-06 14:57:03.142404
55.70941445,37.55813146,2018-09-06 14:57:26.113270
55.71272922,37.56263514,2018-09-06 14:57:47.142685
55.71521915,37.56601918,2018-09-06 14:58:12.289408
55.71671545,37.57145424,2018-09-06 14:58:55.161957
55.71472221,37.57602878,2018-09-06 15:00:28.567712
55.71012497,37.58211619,2018-09-06 15:01:33.565748
55.70990494,37.57718654,2018-09-06 15:05:43.621148
55.70996555,37.57712829,2018-09-06 15:09:17.522058
55.70784966,37.57393565,2018-09-06 15:13:01.827333
55.70726251,37.56859788,2018-09-06 15:13:26.600035
